institute_short,program_name,program_duration,degree_short,quota,pool,category,is_preparatory,opening_rank,closing_rank
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,8,8
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,8,63
IIT-Delhi,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,8,46
IIT-Hyderabad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,8,28
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,8,46
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,8,33
IIT-Madras,Naval Architecture and Ocean Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,0,8,1020
NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST-PWD,0,8,13
IIT-Roorkee,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,8,8
IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC-PWD,0,8,8
IIT-Guwahati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,8,10
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,8,8
IIT-Delhi,Engineering Physics,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,9,76
IIT-Ropar,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,9,9
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,9,9
IIT-Delhi,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,9,9
IIT-Guwahati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,9,39
IIT-Kharagpur,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,9,60
IIT-Roorkee,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,9,101
IIT-(ISM) Dhanbad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,9,9
IIT-Kanpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,9,53
IIT-Hyderabad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,9,9
IIT-Kharagpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,10,10
IIT-Guwahati,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,10,10
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,10,38
IIT-Kanpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,10,10
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,10,89
